battery_capacity_mah_,headphone_form_factor,waterproof_standard,brand_name,battery_charging_time,battery_indicator,charging_interface_type,chipset,codecs,control_method,material,other_features,private_mold,sound_quality,volume_control,wireless_delay_time,product_name,game_atmosphere_light
160mah,,IPX-4,KINYO,1-3 hours,LED,Type-C,JL,LHDC,Touch Control,"Metal, ABS",,Yes,"Stereo, Surround Sound, Bass Boost",,51-60 ms,,No Light
480,,IPX-4,MI,1-3 hours,LED,Type-C,JL,AAC,Touch Control,plastic,,Yes,"High Fidelity (Hi-Fi), Bass Boost, Surround Sound, Stereo, Studio Level",,51-60 ms,,No Light
≤109+3dBSPL,,IPX4 Splash-proof,ToMore,,,,,,,,,,,,,,
200-500mah,In ear,IPX-4,,1-3 hours,Digital Display,Type-C,,,,Plastic,,Yes,High Fidelity (Hi-Fi),,,X87,
200-500mah,In ear,IPX-5,F,1-3 hours,Digital Display,Type-C,ZHONGKE/HUILIAN,AAC,Touch Control,Plastic,Touch Screen,No,Bass Boost,Yes,less than 30 ms,,Single Color
35mAh/400mAh,,IPX-4,SIBYL,,,,Blurtrum,,,ABS earphones headphones,,Yes,,,above 60 ms,,
200-500mah,Ear-hook,IPX-4,bairui,1-3 hours,Digital Display,Type-C,,,App Control,Plastic,,Yes,High Fidelity (Hi-Fi),Yes,31-40 ms,,
200-500mah,,Other,kky,1-3 hours,OTHERS,Type-C,Others,None,App Control,ABS,Reverse charging,No,High Fidelity (Hi-Fi),,above 60 ms,TWS Wireless Earbuds,RGB
180mAh,Ear-hook,IPX-5,ALOVA,1-3 hours,LED,Type-C,BK,Sbc,Button Control,"ABS, PC",,Yes,No Noise Cancellation,Yes,51-60 ms,Bluetooth Headphones Wireless,
500-1000mah,In ear,No,,,Digital Display,Type-C,JL,,,ABS,,Yes,Environmental Noise Cancellation (ENC),Yes,30 Ms,,
,,,,,,,,,,,,,,,,freight forwarder to USA UK CANADA AUSTRALIA NETHERLANDS,
200-500mah,Ear-hook,IPX-5,Hishell/OEM/ODM,1-3 hours,Digital Display,Type-C,,,Button Control,ABS,,No,High Fidelity (Hi-Fi),Yes,31-40 ms,,
200-500mah,,IPX-4,oem,1-3 hours,LED,Type-C,JL7006,Sbc,Touch Control,Plastic,,Yes,Stereo,,41-50 ms,,No Light
None,,None,,,LED indicator,,,,"touch control, voice control",,,Yes,,,,,
,,,,,,,,,,,,,,,,Freight Forwarder,
500-1000mah,,IPX5,,1-3 hours,Digital Display,"Type-C, Micro USB",,"AAC, Sbc",Touch Control,,,,,,,,
200-500mah,Semi-in-ear,IPX-4,SilverDeer,1-3 hours,Digital Display,Type-C,JL,,,"Plastic, Metal",,No,,Yes,31-40 ms,,
,In ear,IPX-4,GuideRay,,,,,,,Plastic,,,Environmental Noise Cancellation (ENC),,,,
500-1000mah,In ear,IPX-5,HXY,1-3 hours,LED,Type-C,JL,AAC,"Touch Control, App Control, Button Control",Plastic,,Yes,Stereo,Yes,30 Ms,,Single Color
200-500mah,,IPX-4,OEM,1-3 hours,LED,Type-C,AB5656,Sbc,Touch Control,Plastic,,Yes,Stereo,,,,No Light
None,In-Ear,IPX5,ZAYSON,1-3 hours,Digital Display,Type-C,Zhongke Lanxun,"AAC, APT-X",Touch Control,Plastic,"Noise-cancelling,Call function,Support music",Yes,Stereo,Yes,less than 30 ms,,Single Color
,,,TDP,,,,,,,Acrylic Plexiglass,,,,,,Acrylic Display Stand,
60mAh,Open-ear,IPX-5,Royaltenic,1-3 hours,Digital Display,Type-C,JL,AAC,Touch Control,ABS+PC,Touch Screen,Yes,"High Fidelity (Hi-Fi), Surround Sound, Stereo",Yes,less than 30 ms,,
,,,OEM,,,,,,,"P.P., Silicon",,,,,,,
200Mah/auriculares inalambricos,In ear,IPX-5,,1-3 hours,LED,Type-C,JL,,"Touch Control, App Control",Plastic,"Translator, Touch Screen",Yes,High Fidelity (Hi-Fi),Yes,31-40 ms,,No Light
,,,,,,,,,,,,,,,,Sports Shooting Bluetooth Earbuds,
200-500mah,In ear,IPX-4,SKJ,1-3 hours,LED,"Type-C, Wireless Charging",JL,"AAC, Sbc","Touch Control, Button Control",ABS+PC,,Yes,"High Fidelity (Hi-Fi), Stereo",No,less than 30 ms,,No Light
200-500mah,Ear-hook,IPX-4,suti,3-5 hours,LED,Type-C,Loda,LHDC,Touch Control,Metal,Reverse charging,No,High Fidelity (Hi-Fi),Yes,31-40 ms,,Single Color
500mah/35mAh,Open-ear,IPX-5,XINTU,1-3 hours,LED,Type-C,Bluetrum  5716,None,"Touch Control, Voice Control, App Control",ABS,Touch Screen,Yes,Stereo,,30 Ms,,Single Color
300mAh,In ear,IPX-5,Langsdom,1-3 hours,LED,Type-C,JL,AAC,"App Control, Button Control, Touch Control, Voice Control",Plastic,,Yes,"Bass Boost, Stereo, Surround Sound, Studio Level",Yes,41-50 ms,TWS Earbuds,Single Color
200-500mah,,IPX-4,,1-3 hours,,Type-C,JL,AAC,Touch Control,Plastic,,Yes,"Stereo, High Fidelity (Hi-Fi), Surround Sound",,31-40 ms,,
,,,,,,,,,,,,,,,,1,
200-500mah,In ear,IPX-3,SUN-RISE,1-3 hours,Digital Display,Type-C,,,Touch Control,Plastic,,,,Yes,,,
600mAh,over-ear,IPX-0,,,Digital Display,"Type-C, Micro USB",QCC3095,"LC3, Sbc","Touch Control, Button Control",,,Yes,,Yes,,Hybrid ANC Bluetooth LE Audio Headphones,
200-500mah,,IPX5,,1-3 hours,,Type-C,Jerry.,,,ABS,"noise reduction, bone conduction, breathing light, long battery life",,,,,,RGB
,,Other,Havit,,,Type-C,,,,,,,,Yes,,Wireless Headphones,
200-500mah,,IPX-5,OEM,1-3 hours,Digital Display,Type-C,JL,AAC,Touch Control,Plastic,,Yes,High Fidelity (Hi-Fi),,31-40 ms,,Single Color
300,In ear,IPX-4,Langsdom,1-3 hours,Digital Display,,JL,,Touch Control,ABS,,Yes,,Yes,51-60 ms,Wireless Air Earphone,
,,IPX-5,YooKiE,1-3 hours,,Type-C,,Apt-X HD,Touch Control,Plastic,,Yes,,,,,No Light
320mAh,Over Ear,IPX-1,AKaudio,,,Micro USB,Qualcomm,"aptX, aptX Low Latency, AAC, SBC",,,,Yes,,,,,
<200mah,,Daily life,F9-5,1-3 hours,LED Digital Display,Type-C,Bluetooth v5.0 anti-interference chip,,Touch Control,ABS+PC,Listen Music,No,General,,30 Ms,TWS Wireless Earbuds,Single Color
200-500mah,In ear,IPX-4,Jue hong,1-3 hours,Digital Display,Type-C,JL,sbc,Yes,ABS,Perfect sound,Yes,Perfect sound,Yes,31-40 ms,Pro5s Earbuds,single color
200-500mah,In ear,IPX-4,quanyunzs,1-3 hours,LED,Type-C,JL,,Touch Control,ABS+PC,,Yes,,Yes,51-60 ms,,No Light
None,In-ear,None,,,digital display screen,,Luoda,,voice control,PC+ABS,,,,,,,
200mAh,Ear-clip,IPX-3,Andowell,,LED,,,,,Plastic,,No,Studio Level,,less than 30 ms,M25 Transparent TWS Wireless BT Earphone,Single Color
,,IPX-4,Other,1-3 hours,LED,Micro USB,JL,,Touch Control,ABS,,No,,Yes,31-40ms,,
200-500mah,,IPX-6,JUHUAXIN,1-3 hours,Digital Display,,SmartLink,,Touch Control,Metal,Touch Screen,,High Fidelity (Hi-Fi),,,TWS Wireless Earbuds,No Light
<200mah,,IPX-5,None,1-3 hours,LED,Type-C,Bluetrum,None,Touch Control,Plastic,,Yes,High Fidelity (Hi-Fi),,30 Ms,,No Light
200-500mah,In ear,IPX-4,no,3-5 hours,LED,Type-C,Realtek,LHDC,Button Control,"Metal, Plastic",Reverse charging,No,Stereo,Yes,31-40 ms,F9 TWS earbuds,
,,IPX-4,,,,,Jerry,,,ABS,,,,,,Game Earphones TWS Wireless Earbuds,
200-500mah,Semi-in-ear,IPX-5,Yotosan,1-3 hours,LED,TYPE-C,JL6983D4,Sbc,"Touch Control, Button Control",Plastic,Reverse charging,Yes,High Fidelity (Hi-Fi),Yes,30 Ms,,No Light
200-500mah,,IPX-4,,3-5 hours,Digital Display,Type-C,Others,LC3,,Plastic,Flashlight,No,High Fidelity (Hi-Fi),,51-60 ms,,
400,,IPX-5,blueear,,LED,,JL6973D4,,,ABS,,Yes,,,41-50 ms,T17 TWS Headphones,
200-500mah,In ear,IPX-4,No,1-3 hours,Digital Display,Type-C,JL,AAC,Touch Control,ABS,,No,High Fidelity (Hi-Fi),Yes,31-40 ms,,No Light
300mah,In ear,IPX-4,Kanoshin,,Digital Display,Type-C,JL,,,ABS,,No,,,0,,
,,,OEM/ODM,,,,,,,,,,,,,Techmi OTC Hearing Aids,
200-500mah,,IPX-4,redmi,1-3 hours,LED,Type-C,Others,AAC,Touch Control,Plastic,,Yes,"Bass Boost, High Fidelity (Hi-Fi), Stereo, Studio Level, Surround Sound",,51-60 ms,,No Light
Yes,,,ZH,,,,,,,Durable ABS,,,,,,,
,,IPX-6,,,,,Earphone,,,Earphone,,,,,30Ms,Earphone,
500MAH,,IPX-6,,,LED,,JL,,,ABS+PVC,,No,,,,TWS Earbuds wireless earphone,
200,,IPX-5,M118,1-3 hours,LED,Type-c,Jl,LHDC,Ai voice recognition,Abs,Support,Yes,High-definition,,30 Ms,,Single Color
200-500mah,,IPX-6,,1-3 hours,LED,Type-C,JL,,Touch Control,Plastic,,,,,less than 30ms,,
2000-3000mah,,IPX-5,quanyunzs,1-3 hours,LED,Type-C,Blurtrum,AAC,Voice Control,Plastic,,Yes,,,above 60 ms,TWS Wireless Earbuds,No Light
<200mah,,IPX-4,YSS,1-3 hours,LED,Other,JL,AAC,Touch Control,Plastic,,No,,,41-50 ms,TWS Wireless Earbuds,Single Color
200mAh,Semi-in-ear,IPX-5,,,,,,,,"Plastic, ABS",,,,Yes,less than 30 ms,,
200-500mah,,IPX-4,Neutral / OEM Brands,1-3 hours,LED,Type-C,Bluetrum,,,Plastic,translator,Yes,,,31-40 ms,,
300/40 mAh,In ear,IPX-5,xintu,1-3 hours,Digital Display,Type-C,JL,AAC,Touch Screen,ABS,"Translator, Touch Screen",Yes,High Fidelity (Hi-Fi),Yes,less than 30 ms,JM21  ANC TWS Earbuds,Single Color
50mAh,,IPX-7,,about 30 minutes,LED,,jerry,None,touch,ABS,,Yes,,Yes,less than 30 ms,,
650mAh,In ear,IPX-5,OEM/ No Brand,1-3 hours,LED,Type-C,JL,"AAC, Sbc",Touch Control,Plastic,,Yes,Bass Boost,Yes,41-50 ms,Hot selling wireless earbuds with Quad Mic ENC,No Light
180 mAh,In ear,IPX-6,TKT,1-3 hours,LED,Type-C,JL,"LHDC, LDAC, Sbc",Touch Control,ABS,Noise Cancelling,Yes,"High Fidelity (Hi-Fi), Surround Sound, Stereo",No,less than 30 ms,Wireless Earbuds,No Light
200mAh,In ear,IPX-5,HCS,1-3 hours,LED,Type-C,Other,APT-X,"App Control, Touch Control",Plastic,"Flashlight, Touch Screen, Reverse charging",Yes,High Fidelity (Hi-Fi),Yes,less than 30 ms,,No Light
25mah/380mah,In ear,IPX-4,KINGSTAR,1-3 hours,LED,Type-C,JL,,"Touch Control, App Control",ABS,Touch Screen,Yes,,Yes,,TWS Earphones,
30mah,,IPX-5,None,1-3 hours,LED,Type-C,JL,LHDC,Button Control,Metal,Anc,Yes,Hifi,,30 Ms,,RGB
200-500mah,,IPX-3,VJBY,1-3 hours,LED,Type-C,JL,AAC,Button Control,Plastic,,Yes,Stereo,,51-60 ms,TWS Earphones,No Light
30mAH +300mAh,Semi-in-ear,IPX-4,,1-3 hours,Digital Display,Type-C,JL,AAC,Touch Control,ABS,,Yes,"High Fidelity (Hi-Fi), Stereo, Surround Sound, Bass Boost",Yes,41-50 ms,,
200-500mah,In ear,IPX-6,,1-3 hours,Digital Display,"Micro USB, Type-C",JL,LHDC,"Touch Control, Button Control",Plastic,Touch Screen,No,Stereo,Yes,31-40 ms,,RGB
,,IPX-5,Fugle,,LED,,"JL6973,  BT5.1",Sbc,,ABS,,Yes,,Yes,51-60 ms,TWS Earbuds,
200-500mah,,IPX-4,VX06,,,,,,,,,No,,,,,
200-500mah,,please contact sales for details,VALDUS,1-3 hours,Digital Display,Micro USB,please contact sales for details,,,,please contact sales for details,Yes,,,,,
300,In ear,IPX-4,Langsdom,,LED,,Blurtrum,,,ABS,,No,,,41-50 ms,TWS Earbuds,
200-500mah,,IPX-4,OEM,1-3 hours,Digital Display,TYPE-C,JL,AAC,Touch,ABS,Touch Screen,Yes,3D,,less than 30ms,,No Light
200-500mah,,IPX-4,,,,,,,,ABS,,,,,,,
200,In ear,IPX-4,no,1-3 hours,Digital Display,Type-C,JL,LHDC,Touch Control,ABS,no,Yes,High Fidelity (Hi-Fi),Yes,31-40 ms,TWS Wireless Earbuds,
35mah,,IPX-4,joyroom,1-3 hours,LED,,JL,,,ABS+PC,,Yes,,,51-60 ms,Wireless Bluetooth Earbuds,
200-500mah,,IPX-4,Kingstar,,Digital Display,,Jieli,None,,,,Yes,,,30 Ms,Kingstar TWS Earbuds,Single Color
200-500mah,,IPX-5,OEM,,Digital Display,,JL,,,ABS,,No,,,31-40 ms,,
30mAh/300mAh,,,,,,,JL,,,,,No,,,above 60 ms,TWS,
200-500mah,,IPX-4,,1-3 hours,Digital Display,Type-C,,,Button Control,Plastic,,,Stereo,,,,No Light
200-500mah,Ear-hook,IPX-5,,1-3 hours,Digital Display,Type-C,,,Touch Control,ABS,,Yes,"High Fidelity (Hi-Fi), Bass Boost, Surround Sound, Stereo",Yes,30 Ms,,
30mah,,IPX-4,OEM,1-3 hours,Digital Display,Type-C,JL 6983,,Button Control,Plastic,Flashlight,Yes,,Yes,40-50ms,In Ear TWS earbuds,
200mah,In ear,IPX-5,None,1-3 hours,LED,Type-C,Jl,,Button Control,ABS,,Yes,,No,30 Ms,,
,,IPX-4,OEM,about 3-4 Hours,LED,,JL,AAC,,plastic,,Yes,,Yes,above 60 ms,A6S Headphone Wireless,
,,IPX-7,,,LED,,JL6973,,,,,,,,51-60 ms,,
,,Other,OEM,1-3 hours,Digital Display,,jl,AAC,,Plastic,,Private Mold,,,41-50 ms,,No Light
,,IPX-5,OEM/ODM,1-3 hours,Digital Display,,JL,Apt-X HD,,,,Private Mold,,Yes,51-60 ms,Wireless Gaming Headphone,Multicolor
600,Open-ear,IPX-5,Langsdom,1-3 hours,LED,,Blurtrum,,,ABS,,Yes,,Yes,41-50 ms,Earbuds Bluetooth,
/,,,LSJ,,,,,,,,,,,,,,
2.5mA,,/,Great-Ears,,Digital Display,,Other,,,ABS/Silica Gel,,,,,,BTE Hearing Aids,
,,IPX-4,,,Digital Display,,jerry,,,,,,,,,,
200mah,,,OEM/ODM,,,,,,,Polyester,,,,,,,
<200mah,,IPX-4,,1-3 hours,Digital Display,Type-C,Bluetrum,"AAC, Sbc",Touch Control,Plastic,,No,"High Fidelity (Hi-Fi), Bass Boost, Surround Sound, Stereo",,less than 30ms,,No Light
,,,EARMOR,,,,,,,ABS,,,,,,Hunting shooting ear protection,
